序号,功能模块（选填）,用户类型（选填）,埋点截图,埋点触发时机,埋点是否新增（选填）,event,埋点描述,本需求上报时机（选填）,pram新增说明（选填）,param名称,param描述,param类型,是否必传,param取值,开发备注（选填）,截图备注（选填）,开发owner（选填）,埋点变更内容,是否新增上报场景,埋点类型,成本业务线,管理业务线,标签（逗号分隔）,属性模板,场景描述,场景标定条件
5,Workflow,,,result,新增埋点,workflow.run.completed,工作流成功,,新增参数,durationMs,运行耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_completed,
6,Workflow,,,result,新增埋点,workflow.run.failed,工作流失败,,新增参数,runId,Workflow 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_failed,
6,Workflow,,,result,新增埋点,workflow.run.failed,工作流失败,,新增参数,durationMs,运行耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_failed,
6,Workflow,,,result,新增埋点,workflow.run.failed,工作流失败,,新增参数,errorCode,稳定失败码,string,FALSE,timeout: 超时；其他稳定 code,不发送错误消息,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_failed,
7,Workflow,,,exit,新增埋点,workflow.run.cancelled,工作流取消,,新增参数,runId,Workflow 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_cancelled,
7,Workflow,,,exit,新增埋点,workflow.run.cancelled,工作流取消,,新增参数,durationMs,运行耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_cancelled,
8,Connector,,,enter,新增埋点,connector.message.received,连接器收到消息,,新增参数,adapterId,Connector 实例标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Connector,,inbound 去重成功后,
8,Connector,,,enter,新增埋点,connector.message.received,连接器收到消息,,新增参数,platform,Connector 平台,string,TRUE,telegram: Telegram；lark: 飞书；其他平台,动态枚举需按 adapter catalog 补齐,,,新增 OTel 行为事件,是,行为埋点,,,Connector,,inbound 去重成功后,
9,Connector,,,result,新增埋点,connector.message.sent,连接器发送结果,,新增参数,adapterId,Connector 实例标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Connector,,adapter 发送落定,
9,Connector,,,result,新增埋点,connector.message.sent,连接器发送结果,,新增参数,platform,Connector 平台,string,TRUE,unknown: adapter 缺失；其他平台,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Connector,,adapter 发送落定,
9,Connector,,,result,新增埋点,connector.message.sent,连接器发送结果,,新增参数,outcome,发送结果,string,TRUE,succeeded: 成功；failed: 失败,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Connector,,adapter 发送落定,
9,Connector,,,result,新增埋点,connector.message.sent,连接器发送结果,,新增参数,errorCode,稳定失败码,string,FALSE,adapter_not_found: adapter 缺失；其他稳定 code,不发送错误消息,,,新增 OTel 行为事件,是,行为埋点,,,Connector,,adapter 发送落定,
10,Agent Team,,,enter,新增埋点,agent.teammate.started,队友任务开始,,新增参数,runId,Agent Team 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,成功 claim 队友后,
10,Agent Team,,,enter,新增埋点,agent.teammate.started,队友任务开始,,新增参数,teamId,Agent Team 标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,成功 claim 队友后,
10,Agent Team,,,enter,新增埋点,agent.teammate.started,队友任务开始,,新增参数,role,队友角色,string,TRUE,配置中的稳定角色值,动态枚举需按 Team 配置补齐,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,成功 claim 队友后,
11,Agent Team,,,result,新增埋点,agent.teammate.completed,队友任务成功,,新增参数,runId,Agent Team 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,结果校验及释放成功,
11,Agent Team,,,result,新增埋点,agent.teammate.completed,队友任务成功,,新增参数,teamId,Agent Team 标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,结果校验及释放成功,
11,Agent Team,,,result,新增埋点,agent.teammate.completed,队友任务成功,,新增参数,channel,执行通道,string,TRUE,text: 文本；sidecar: Sidecar；external: 外部 Agent,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,结果校验及释放成功,
11,Agent Team,,,result,新增埋点,agent.teammate.completed,队友任务成功,,新增参数,durationMs,任务耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,结果校验及释放成功,
12,Agent Team,,,result,新增埋点,agent.teammate.failed,队友任务失败,,新增参数,runId,Agent Team 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,执行异常或输出校验失败,
12,Agent Team,,,result,新增埋点,agent.teammate.failed,队友任务失败,,新增参数,teamId,Agent Team 标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,执行异常或输出校验失败,
12,Agent Team,,,result,新增埋点,agent.teammate.failed,队友任务失败,,新增参数,errorType,不含正文的错误类型,string,TRUE,Error name,不发送错误消息,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,执行异常或输出校验失败,
12,Agent Team,,,result,新增埋点,agent.teammate.failed,队友任务失败,,新增参数,durationMs,任务耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Agent Team,,执行异常或输出校验失败,
13,System,,,result,新增埋点,telemetry.preference.changed,遥测总开关变化,,新增参数,enabled,行为遥测总开关,,TRUE,true: 开启；false: 关闭,阻断：boolean 不符合 ByteIO 参数类型,,,新增 OTel 行为事件,是,行为埋点,,,System,,保存时总开关显式变化,
